,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu,ope,con,ext,agr,neu,swl,CESD_sum
emptyTran,1.0,-0.5308005430159304,-0.3824665886417411,,0.0052302583635085685,-0.7424571916447708,-0.3865059291787904,-0.3976676803188977,-0.2056448145772822,-0.2690035960550136,-0.21069538686943304,0.21298493802830018,-0.05650576536083983,0.14095825333276946,0.16057679433321825,0.1303750999686215,-0.04490014345721337,0.034343893026009695,0.10499696540437055,-0.08777850685656771,-0.001060297821027499,-0.046804071043368506
negaTran,-0.5308005430159304,1.0,0.021071286223141045,,-0.1360240143081287,0.4958258075440972,0.2848605311336603,0.3567292512946767,-0.03104985238809062,-0.11199840943672337,0.04710291230920707,-0.5528306546066842,-0.17207878235317348,-0.17209091973553917,-0.2902418148007619,-0.146268081845043,0.01635676026160689,-0.1218208254887075,-0.26342318750852856,0.16785014965975786,-0.10544451675717978,0.09722420044742368
posiTran,-0.3824665886417411,0.021071286223141045,1.0,,0.05106571536295695,0.28379006087273645,0.35132938975325934,0.17014077106635922,-0.017743687536318813,-0.17439817593420165,-0.2023356707116376,-0.01685515161131102,-0.3792656055174944,-0.1475373280357559,-0.2711046267022468,-0.13021397359077894,0.037558670236556534,0.27427509623934887,0.11774847701959797,0.015465416608366405,0.08624260869285665,0.014912305524605925
mixTran,,,,,,,,,,,,,,,,,,,,,,
neuTran,0.0052302583635085685,-0.1360240143081287,0.05106571536295695,,1.0,-0.19059278223679432,-0.09238934673668626,-0.03134012450856544,0.30527655590867175,0.2855183395910754,0.2789225510862031,-0.013197152943889364,-0.13210148072940212,-0.230033909040051,0.2437077607910881,-0.05505192916876641,-0.02332762196901354,0.016695989170273214,-0.050320370259543,-0.18938385284069884,0.3031542252649966,-0.1910363507827947
PosAndNeg,-0.7424571916447708,0.4958258075440972,0.28379006087273645,,-0.19059278223679432,1.0,0.4099231817412747,0.571312833130453,0.1343207281593012,-0.024833986234550666,0.16581249788431232,-0.4673710542388174,-0.012293335810315418,-0.13022351151587827,-0.38436590456554565,-0.09954998610159389,-0.03102332820076878,-0.03820250293289671,-0.028922469231529153,0.2089724578753813,-0.09042610883998022,0.09541201187180949
MixAndPos,-0.3865059291787904,0.2848605311336603,0.35132938975325934,,-0.09238934673668626,0.4099231817412747,1.0,0.4994544277872712,0.10573788314443758,-0.18001989405392832,-0.018360653260669893,-0.26781036592858093,-0.25786041362556894,0.1343013799976905,-0.1429366008415319,-0.022690669118564825,0.035966360494514,-0.02843245136698632,0.07688928429191026,0.06871789752650838,0.06141153854800335,0.06580347734355535
MixAndNeg,-0.3976676803188977,0.3567292512946767,0.17014077106635922,,-0.03134012450856544,0.571312833130453,0.4994544277872712,1.0,0.1977983078673431,-0.13321620259769615,-0.012964369194267484,-0.36354386732650373,-0.19955386114208526,-0.061004424706962615,-0.2122472471849969,-0.019263303188051466,-0.04702209995553683,-0.12630565021761622,-0.012388225596288459,0.18116432871830265,-0.14922131334159144,0.12442241745274787
MixAndNeu,-0.2056448145772822,-0.03104985238809062,-0.017743687536318813,,0.30527655590867175,0.1343207281593012,0.10573788314443758,0.1977983078673431,1.0,0.38731231838772956,0.39090758147852417,-0.05804393967116184,-0.16341328491827353,-0.13873576966521506,0.11818982930288872,-0.08917231906501058,-0.08112489975048046,-0.07419235911092825,-0.054454003294211704,0.14803705435601808,-0.04876891339613559,0.01071748216433346
NeuAndPos,-0.2690035960550136,-0.11199840943672337,-0.17439817593420165,,0.2855183395910754,-0.024833986234550666,-0.18001989405392832,-0.13321620259769615,0.38731231838772956,1.0,0.4417426630254484,0.06295282070735388,0.07483676115632558,-0.2572263372150004,0.38280361001430985,6.329748760737225e-06,-0.207169687193409,-0.17348783887895775,-0.1403822032644144,0.06505497437161487,-0.12472214776386618,0.027906894148155836
NeuAndNeg,-0.21069538686943304,0.04710291230920707,-0.2023356707116376,,0.2789225510862031,0.16581249788431232,-0.018360653260669893,-0.012964369194267484,0.39090758147852417,0.4417426630254484,1.0,-0.3717250608337785,0.12040737937962703,-0.18830120039282522,0.1667571986432964,-0.085407976598815,-0.08555708915125558,-0.1755098996047201,-0.12784534639038078,0.07099984012975408,-0.007612079853775428,0.06803903161709227
EmptyAndPos,0.21298493802830018,-0.5528306546066842,-0.01685515161131102,,-0.013197152943889364,-0.4673710542388174,-0.26781036592858093,-0.36354386732650373,-0.05804393967116184,0.06295282070735388,-0.3717250608337785,1.0,-0.13518109973481784,0.2934392288098458,0.04442911389275091,0.1447172262307726,0.08683716220416551,0.22137960614466204,0.25649017540063956,-0.20139853719779643,0.10763791194366976,-0.20425381821667873
EmptyAndNeg,-0.05650576536083983,-0.17207878235317348,-0.3792656055174944,,-0.13210148072940212,-0.012293335810315418,-0.25786041362556894,-0.19955386114208526,-0.16341328491827353,0.07483676115632558,0.12040737937962703,-0.13518109973481784,1.0,0.03923697196511829,0.01134933829721069,0.030857288842222157,0.08220059191896414,-0.1651964492887625,-0.10232151886995224,-0.10142651378711899,0.020751259036642385,0.05698445690837186
EmptyAndMix,0.14095825333276946,-0.17209091973553917,-0.1475373280357559,,-0.230033909040051,-0.13022351151587827,0.1343013799976905,-0.061004424706962615,-0.13873576966521506,-0.2572263372150004,-0.18830120039282522,0.2934392288098458,0.03923697196511829,1.0,-0.142599386501679,0.20640785043955026,0.24267899742210325,0.07309280837865711,0.26490760649727996,-0.2234833112933854,0.15758798136593913,-0.16823080454648043
EmptyAndNeu,0.16057679433321825,-0.2902418148007619,-0.2711046267022468,,0.2437077607910881,-0.38436590456554565,-0.1429366008415319,-0.2122472471849969,0.11818982930288872,0.38280361001430985,0.1667571986432964,0.04442911389275091,0.01134933829721069,-0.142599386501679,1.0,0.03126682308646781,-0.06390734453268233,-0.14403887737243123,-0.10596029328400101,-0.03390756727306161,0.03703574577059309,0.0061379830547646135
ope,0.1303750999686215,-0.146268081845043,-0.13021397359077894,,-0.05505192916876641,-0.09954998610159389,-0.022690669118564825,-0.019263303188051466,-0.08917231906501058,6.329748760737225e-06,-0.085407976598815,0.1447172262307726,0.030857288842222157,0.20640785043955026,0.03126682308646781,1.0,-0.07581417945718766,0.3053106827175058,0.017626195865550327,-0.20997324710166412,-0.07837008416831089,-0.22736657142918243
con,-0.04490014345721337,0.01635676026160689,0.037558670236556534,,-0.02332762196901354,-0.03102332820076878,0.035966360494514,-0.04702209995553683,-0.08112489975048046,-0.207169687193409,-0.08555708915125558,0.08683716220416551,0.08220059191896414,0.24267899742210325,-0.06390734453268233,-0.07581417945718766,1.0,0.184559079596992,0.15137217610582618,-0.3676038524232839,0.4017546508543329,-0.4028770230146182
ext,0.034343893026009695,-0.1218208254887075,0.27427509623934887,,0.016695989170273214,-0.03820250293289671,-0.02843245136698632,-0.12630565021761622,-0.07419235911092825,-0.17348783887895775,-0.1755098996047201,0.22137960614466204,-0.1651964492887625,0.07309280837865711,-0.14403887737243123,0.3053106827175058,0.184559079596992,1.0,0.1828082375376087,-0.34597986094785116,0.20475873761338123,-0.35148339551778607
agr,0.10499696540437055,-0.26342318750852856,0.11774847701959797,,-0.050320370259543,-0.028922469231529153,0.07688928429191026,-0.012388225596288459,-0.054454003294211704,-0.1403822032644144,-0.12784534639038078,0.25649017540063956,-0.10232151886995224,0.26490760649727996,-0.10596029328400101,0.017626195865550327,0.15137217610582618,0.1828082375376087,1.0,-0.2775350271829806,0.24616180059319911,-0.19315363239396385
neu,-0.08777850685656771,0.16785014965975786,0.015465416608366405,,-0.18938385284069884,0.2089724578753813,0.06871789752650838,0.18116432871830265,0.14803705435601808,0.06505497437161487,0.07099984012975408,-0.20139853719779643,-0.10142651378711899,-0.2234833112933854,-0.03390756727306161,-0.20997324710166412,-0.3676038524232839,-0.34597986094785116,-0.2775350271829806,1.0,-0.40264498776667157,0.6145502805560522
swl,-0.001060297821027499,-0.10544451675717978,0.08624260869285665,,0.3031542252649966,-0.09042610883998022,0.06141153854800335,-0.14922131334159144,-0.04876891339613559,-0.12472214776386618,-0.007612079853775428,0.10763791194366976,0.020751259036642385,0.15758798136593913,0.03703574577059309,-0.07837008416831089,0.4017546508543329,0.20475873761338123,0.24616180059319911,-0.40264498776667157,1.0,-0.462403191605134
CESD_sum,-0.046804071043368506,0.09722420044742368,0.014912305524605925,,-0.1910363507827947,0.09541201187180949,0.06580347734355535,0.12442241745274787,0.01071748216433346,0.027906894148155836,0.06803903161709227,-0.20425381821667873,0.05698445690837186,-0.16823080454648043,0.0061379830547646135,-0.22736657142918243,-0.4028770230146182,-0.35148339551778607,-0.19315363239396385,0.6145502805560522,-0.462403191605134,1.0
