,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
009d96a823b6f6c085c092fb177491f6,-1,-1,-1,2,-1,-1,2,2,-1,-1,1,-1,-1,2,-1,-1,3,-1,-1,-1,-1,4,2,-1,4,-1,3,-1,1,-1,-1,-1,1,2,-1,-1,3,2,2,2,1,4,-1,1,-1,-1,-1,4,3,4,1,2,-1,-1,-1,4,1,1,1,2
0724fe854bd455061ba84efecdeff469,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,2,-1,-1,-1,-1,1,2,1,4,-1,-1,1,-1,1,1,1,-1,1,2,1,1,4,1,2,-1,-1,-1,-1,-1,1,4,-1,-1,2,2,-1,-1,-1
088bf0ed841bcc366475b3975eb1b9d2,4,2,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,2,-1,-1,-1,3,-1,1,-1,3,2,1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,2,4,1,-1,1,4,2
0b12516100c16f779b152858619786ff,1,1,1,-1,2,1,2,3,1,2,2,-1,1,2,-1,1,-1,2,-1,-1,1,2,2,-1,-1,2,2,1,1,-1,-1,1,2,-1,-1,-1,1,-1,-1,-1,1,2,-1,1,-1,1,-1,3,2,-1,-1,2,-1,-1,4,2,2,-1,4,1
0c5d06511ef79fba34da417e8c751fff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,2,2,2,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,2,2,1,3,1,-1,-1,2,-1,4,-1,-1,-1,-1,-1,4,-1,-1,2,2,1,-1,-1,-1,4,-1
0e3fdb89c7706b13891170ab2a9017c7,3,1,-1,1,3,1,2,-1,-1,-1,3,1,-1,4,2,4,-1,-1,3,-1,2,2,4,-1,2,4,4,-1,-1,-1,-1,-1,2,4,4,-1,-1,-1,-1,3,-1,1,-1,-1,-1,2,-1,-1,-1,4,-1,2,3,1,-1,-1,-1,-1,-1,-1
1789589a6d2bba0f09d768f8f3445be5,1,2,-1,-1,1,1,-1,4,1,4,-1,-1,-1,-1,-1,1,2,-1,-1,-1,4,2,-1,-1,1,1,1,-1,-1,1,1,1,-1,2,2,-1,4,2,3,-1,-1,-1,-1,1,-1,4,3,4,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1
193165601dfad67e79ef52b2caf9fd9e,-1,-1,-1,-1,3,-1,2,3,3,1,1,-1,-1,-1,-1,1,1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,4,-1,2,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,-1,2
1c1a61d11a10f9fa967f250095792db3,1,2,1,-1,4,-1,1,1,1,-1,-1,4,-1,2,1,4,4,-1,-1,-1,4,-1,4,1,3,-1,3,-1,2,-1,-1,-1,2,-1,-1,-1,3,4,-1,2,-1,-1,-1,1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,4,1,-1,-1
1e84bfe1c9bbd549913aad1bc57c8878,-1,-1,2,-1,1,-1,4,4,3,2,2,4,2,-1,2,-1,-1,-1,2,-1,-1,-1,2,2,1,-1,1,2,2,2,-1,2,4,2,3,-1,4,-1,-1,-1,2,-1,-1,1,-1,2,-1,-1,-1,2,4,-1,4,-1,-1,2,-1,2,2,-1
23cbbe03a89344129e1a6d8419a66d23,-1,-1,-1,-1,-1,-1,1,-1,1,2,-1,-1,-1,-1,-1,2,1,2,2,-1,2,4,1,-1,-1,3,2,-1,-1,2,-1,-1,2,-1,-1,3,-1,-1,-1,-1,-1,2,-1,2,2,-1,-1,-1,2,-1,-1,2,2,-1,2,2,3,3,2,3
2549774d68d7ccbcba069afb45c7e237,4,1,3,1,2,-1,4,-1,3,4,-1,1,-1,4,-1,2,-1,-1,-1,1,-1,4,4,4,-1,1,-1,-1,1,-1,4,-1,-1,1,4,4,-1,-1,1,1,1,1,-1,4,2,1,-1,1,1,-1,3,3,4,4,1,1,-1,2,-1,2
29cda473b52e1c75fbfe958ed3aec565,2,2,2,-1,-1,-1,1,-1,2,4,-1,3,-1,-1,-1,2,-1,2,-1,4,-1,-1,4,-1,4,-1,4,2,-1,4,3,3,-1,-1,-1,-1,3,2,2,1,3,-1,-1,4,-1,2,-1,-1,-1,-1,2,-1,-1,1,-1,-1,-1,-1,-1,-1
2a9b90b41e9399bb331fef2582f657c3,1,4,1,1,1,1,1,1,1,1,-1,1,1,3,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,-1,4
2dca898dfbdae6716a587adbfd99c542,2,2,1,4,-1,2,2,-1,-1,-1,1,-1,2,-1,2,-1,1,-1,-1,-1,2,1,1,-1,2,3,1,-1,4,-1,-1,1,-1,-1,-1,1,1,-1,1,4,-1,-1,3,-1,2,2,4,2,1,2,1,1,1,-1,2,1,2,-1,1,-1
2fba0f9dccc84f3516d8b553426af527,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,4,1,1,-1,1,-1,1,1,4,-1,1,4,3,-1,1,-1,-1,2,-1,-1,-1,-1,1,-1,3,1,-1,-1,1,4,3,-1,-1,2,1,2,1,2,-1,-1,-1,-1
30723e9e5ecfe6d20e5e67d1163e3965,2,1,1,3,1,1,3,2,-1,1,1,4,2,1,2,4,2,4,4,2,2,2,4,4,4,1,-1,4,1,-1,1,2,-1,4,4,4,2,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,3,-1,2
39b2af957c2488970cb89c161b6bf94e,2,1,3,1,2,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,2,2,-1,4,1,4,2,1,2,1,1,3,2,4,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1
3ac58ad39d81acfe169aadc4815effe6,1,1,2,1,4,2,1,-1,1,4,-1,-1,-1,1,1,1,2,-1,1,-1,3,1,4,1,-1,1,1,1,-1,4,2,-1,-1,-1,2,1,-1,1,-1,-1,-1,4,2,4,-1,2,2,2,1,1,1,-1,1,-1,-1,1,-1,1,3,1
3e6f69fc89da71e8237c717ac218677b,-1,-1,4,2,1,1,-1,-1,1,4,4,-1,-1,3,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,1,-1,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,4,-1,-1,-1,-1,-1
4104c0b8700d519d1661c8a59b065363,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,3,4,2,2,-1,4,2,-1,-1,4,-1,-1,4,2,-1,-1,4,2,-1,-1,1,1,4,1,-1,-1,2,-1,1,1,4,1,4
41ef345410ba421410cb4d09c331aec3,4,-1,-1,1,4,1,-1,1,-1,-1,2,2,-1,1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,2,2,2,2,2,-1,-1,-1,4,-1,-1,4,4,4,-1,-1,1,4,4,4
4764518d32334248e6ebbf681a18fd0c,1,4,-1,2,4,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,3,3,4,1,2,4,1,2,-1,1,-1,-1,1,2,-1,2,1,1,1,2,1,2,1,-1,2,1,2,4,-1,4,2,1,2,1,-1,-1,1,3
4908adae6cf09defb838925defcc5e61,1,4,1,-1,2,1,2,1,-1,2,2,2,2,3,-1,-1,-1,4,3,2,2,1,2,1,2,1,1,-1,2,1,2,2,-1,1,1,1,1,1,-1,-1,2,1,4,2,3,2,3,2,2,-1,2,1,4,-1,1,4,1,1,-1,-1
49fb9fce8f4dc022318b8cd432aad8b6,-1,-1,-1,-1,-1,-1,2,-1,-1,2,4,2,2,-1,1,2,1,1,-1,1,2,2,-1,-1,2,-1,3,-1,-1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,1,2,1,-1,-1,-1,-1,1,-1,1,1,2,-1
4d7ae0617845c6b30eb85b55a991f4c5,-1,-1,1,-1,1,4,-1,2,-1,-1,-1,-1,4,-1,1,-1,-1,-1,3,2,-1,2,1,4,-1,3,2,-1,-1,-1,4,-1,1,-1,2,1,4,-1,-1,3,-1,-1,-1,-1,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,1,4
55a72284594fdda49b22a6610b9b91d6,-1,2,1,-1,1,3,4,1,-1,4,3,1,1,1,-1,2,1,4,1,4,2,-1,-1,-1,-1,1,-1,1,-1,2,3,3,2,4,4,3,1,2,-1,1,-1,2,-1,-1,-1,4,1,3,3,1,-1,2,3,1,4,2,4,1,1,1
57118d9a71e91b6568471ffbd7077415,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,3,3,-1,1,-1,3,-1,-1,-1,-1,-1,2,-1,-1,2,-1,1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,3,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,4
5b1eb32579450829ec8faab4d3472ffb,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,1,4,-1,-1,1,-1,-1,1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,3,2,-1,-1,-1,-1,-1,4,-1,-1,2,4,-1,2,3,1,-1,2,-1,4,2,4,4,-1,-1,-1
5c31d7d80e78643cd5289acec0561d77,-1,2,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,4,-1,-1,-1,-1,-1,4,-1,-1,1,-1,-1,-1,3,4,4,1,1,-1,3,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5cc136477bfe3fcfe809dc451e4243ef,-1,4,4,-1,2,-1,-1,3,-1,-1,4,4,1,3,1,-1,4,-1,4,-1,1,-1,2,1,1,1,1,1,3,1,4,1,1,-1,-1,4,2,4,4,1,1,-1,2,-1,4,2,1,1,3,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1
5fcf46eb6809a240af3ab9bcb4f2b92f,4,2,-1,1,-1,1,4,-1,-1,2,1,-1,-1,2,3,-1,-1,-1,2,-1,1,-1,2,-1,-1,2,-1,-1,1,-1,-1,-1,-1,-1,4,4,1,-1,1,-1,1,2,4,-1,-1,1,4,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
61e7f6145fd03d709cabbde3faf33412,-1,-1,4,-1,4,-1,1,-1,2,-1,-1,-1,-1,-1,1,3,2,-1,-1,-1,3,3,4,4,-1,1,4,1,-1,1,2,1,2,-1,-1,4,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,3,3,1,1,-1,2,-1,2,3,-1,-1,2,-1
64463aa93c9145fa0724a9e89ea7be2a,2,-1,-1,-1,3,-1,-1,1,1,-1,-1,-1,-1,4,1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,3,-1,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,3,-1,1
66495ec54feb9e2399db05a67a80f2c6,-1,-1,1,-1,-1,1,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,4,-1,2,-1,2,4,3,2,-1,-1,2,-1,1,-1,2,2,-1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,2,2,-1,-1,2,-1,1,2,1,1,-1,-1,-1
6665bcd5e5324938fdbb5ea467fb5e3f,2,2,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,2,2,1,2,-1,-1,2,1,-1,-1,-1,2,-1,-1,-1,-1,1,1,1,1,1,-1,-1
7175a46eaf9d0a6e00c562bfaa614360,4,1,2,-1,1,-1,-1,-1,4,1,4,1,2,-1,-1,2,-1,-1,-1,2,4,-1,2,4,1,-1,3,-1,2,-1,1,1,-1,-1,-1,-1,4,3,-1,4,4,-1,-1,4,2,-1,4,1,4,-1,1,-1,-1,-1,2,-1,4,2,3,-1
748b929276449add1cb3bb5985e85fa1,2,3,-1,1,1,-1,1,-1,4,2,1,-1,4,-1,1,-1,-1,-1,1,-1,2,-1,-1,-1,2,-1,2,-1,2,-1,-1,-1,-1,1,1,4,3,2,2,1,-1,2,-1,2,4,-1,1,-1,4,1,-1,1,1,4,3,-1,-1,-1,-1,-1
7e450a79b8bacd420727a5dd9305f8d8,-1,-1,3,1,2,1,4,1,1,3,-1,-1,1,3,1,-1,1,1,2,2,1,2,2,2,-1,-1,1,2,1,-1,-1,-1,-1,-1,1,2,1,-1,1,1,2,1,-1,-1,1,3,4,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82e932005d8c94bb93bcb54fa19f421c,2,1,-1,1,-1,2,1,2,4,1,2,1,2,2,1,3,1,1,1,4,2,1,2,3,1,2,2,1,1,2,2,2,3,4,3,2,1,1,1,1,1,3,1,1,2,3,1,1,3,4,3,1,1,4,1,4,1,1,1,1
83b42f70e17daecbc41b785c2b9ce869,4,3,2,2,-1,-1,-1,1,2,-1,-1,2,-1,1,1,1,-1,1,4,2,2,-1,4,2,-1,-1,1,-1,-1,-1,2,4,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,4,-1,1,-1,-1,-1,-1
87ab3ba2cf5dd6ef4f4807a754dd968b,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,4,-1,1,1,1,4,1,1,-1,4,1,4,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
8a1c6e4eb35abbf1ae252628fca46cdb,-1,-1,-1,-1,-1,4,-1,-1,4,2,-1,-1,-1,-1,1,-1,2,1,2,-1,4,-1,3,-1,-1,1,-1,4,1,4,-1,4,1,-1,-1,-1,-1,4,2,-1,-1,-1,4,-1,-1,4,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
8b6ceafaf2ea6bd34f26ff463156363c,1,-1,1,-1,-1,1,1,2,2,2,2,-1,-1,-1,2,1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,2,2,-1,-1,1
8c393982479748c5a53acaa7a3717c71,1,2,1,3,1,2,1,1,3,1,3,3,1,1,1,3,1,1,2,1,1,-1,3,1,1,1,1,1,3,1,3,2,1,1,3,3,3,2,2,3,1,2,3,3,1,1,-1,3,3,2,3,1,2,2,-1,1,3,1,-1,1
8ff6192bbbb717c36097b33e244d91de,2,1,2,4,1,-1,1,-1,-1,2,1,2,4,-1,2,1,-1,1,1,1,2,4,2,1,4,2,1,1,1,-1,-1,1,4,1,1,-1,-1,-1,2,2,1,1,4,4,-1,2,4,4,1,2,-1,1,4,1,1,2,1,-1,2,-1
9138a4af7fa7a5c5bf363d867ff6c56c,-1,-1,2,1,-1,2,1,-1,2,-1,2,2,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,-1,-1,2,-1,2,1,2,-1,2,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2,1,-1,2
968157017daec34ee86050fe9bd72293,-1,2,-1,-1,2,-1,-1,1,4,2,-1,2,1,2,-1,1,4,2,2,-1,1,4,2,1,1,1,2,4,-1,-1,4,2,-1,-1,-1,-1,-1,-1,-1,4,1,2,4,-1,1,2,4,-1,4,-1,2,2,2,1,2,2,1,1,-1,4
a504bfd98bdc8e7a61edcfe8c4e2a801,1,-1,1,2,2,-1,2,-1,3,-1,1,1,-1,1,1,2,1,-1,1,2,1,-1,1,-1,-1,1,-1,2,-1,4,1,4,-1,1,2,-1,-1,-1,1,-1,-1,-1,1,2,1,-1,-1,-1,1,1,2,-1,-1,2,3,2,2,1,4,-1
a7a3af125074cb806a200f51ea7e10bf,2,2,-1,-1,-1,-1,-1,2,-1,-1,2,2,-1,2,2,-1,2,2,2,2,2,-1,-1,-1,2,2,2,-1,2,-1,-1,-1,2,2,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,2
a8b2c778af65ca2c46306554f338cacb,1,2,-1,1,-1,2,2,2,3,1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,2,2,-1,-1,-1,4,-1,2,-1,3,-1,2,2,2,1,4,1,4,2,-1,-1,-1
aed86a3085a364f5484679649f064467,-1,2,4,2,2,1,-1,-1,4,1,-1,-1,-1,-1,2,1,-1,2,-1,1,2,-1,-1,-1,-1,2,-1,4,-1,4,4,2,-1,2,-1,2,-1,2,-1,-1,-1,3,-1,2,-1,2,2,4,-1,-1,-1,2,1,-1,2,-1,-1,-1,2,2
b121d90e407cd597da17491f36e7b2c5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,1,-1,-1,-1,1,2,-1,-1,-1,1,1,-1,-1,1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,3,-1,4,1,-1,-1,3,1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,2,-1
b15cf300b5693210682e36cfe5f9789b,-1,2,-1,1,-1,2,4,1,-1,-1,-1,4,-1,-1,-1,-1,4,3,2,-1,-1,1,-1,2,-1,-1,1,2,4,-1,-1,1,1,1,1,-1,1,-1,2,-1,4,2,4,2,-1,-1,-1,2,-1,-1,-1,-1,-1,2,2,1,1,-1,1,-1
b5efdb17945bc5ac2504e6c0c70f41b1,-1,2,-1,-1,4,-1,-1,2,3,1,2,1,1,-1,2,-1,-1,-1,-1,3,1,2,2,2,1,-1,1,-1,2,1,-1,-1,2,1,1,2,-1,1,1,-1,2,1,-1,-1,-1,4,4,1,2,-1,-1,2,-1,-1,-1,2,-1,4,1,-1
b6f1257ff213585723c66e253d2b92f7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,4,-1,-1,-1,-1,2,1,2,-1,1,4,1,1,-1,-1,-1,-1,2,4,4,2,1,4,-1,4,4,-1,-1,2,-1
c0289bdb4cd4eda90653b2c84af61e03,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,1,2,3,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,3,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,3,1,2
c70b15854118907c8f0a234e2ba44bbc,-1,-1,2,2,2,-1,-1,1,-1,2,2,2,1,2,2,2,2,2,2,-1,-1,4,-1,2,2,2,2,2,1,1,-1,-1,1,1,-1,-1,-1,2,2,-1,-1,2,-1,-1,2,1,-1,1,2,2,1,3,3,-1,2,-1,2,-1,-1,1
cd86d1e6d68c3770eaec0db419dceb2f,-1,-1,-1,1,1,-1,1,3,-1,1,2,1,-1,1,2,2,-1,1,4,-1,1,-1,2,1,2,1,4,2,2,2,1,1,1,-1,1,1,-1,3,2,1,2,4,1,-1,-1,1,3,1,-1,1,1,2,3,2,2,3,1,2,1,-1
cea00424ced413c108d878b1a14f3316,-1,-1,-1,1,-1,-1,2,-1,2,2,-1,2,4,4,2,2,2,4,4,2,-1,2,4,-1,-1,-1,4,-1,-1,2,2,2,-1,-1,1,-1,2,2,-1,-1,-1,-1,-1,2,1,1,2,-1,1,-1,-1,-1,2,-1,-1,4,-1,3,-1,4
cfb021cfbff46ffdb75c7dcafe7c2087,1,4,1,4,3,1,2,4,2,-1,4,2,-1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,4,3,1,1,-1,-1,-1,1,-1,-1,4,-1,-1,2,4,4,4,-1,2,4,3,4,4,1,-1,4,-1,2,4,1,2,1,2
d5380466e18422d7b2c2d54d57cbbde2,-1,2,1,1,2,-1,-1,3,-1,1,-1,-1,-1,-1,4,-1,-1,-1,-1,2,2,-1,2,-1,-1,-1,-1,4,3,-1,-1,-1,-1,-1,-1,2,-1,2,-1,4,-1,4,1,2,2,-1,-1,2,-1,-1,-1,-1,-1,1,2,3,-1,-1,-1,1
db7f1b0130b2138e13b7bbca9cc63823,2,-1,2,-1,-1,4,3,2,-1,-1,-1,-1,2,-1,1,2,2,1,1,1,1,1,1,-1,4,3,-1,1,3,1,-1,2,-1,1,4,-1,4,2,-1,-1,-1,2,-1,-1,2,4,-1,-1,1,1,-1,-1,-1,4,-1,-1,-1,3,-1,-1
dcbe08425f5edef5e5c1053f21e83640,-1,-1,-1,2,4,2,2,4,4,1,-1,2,2,-1,-1,1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,2,2,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,2
e076953cd3fcf8927b8f21574c0890f3,-1,3,-1,1,2,2,-1,2,2,2,4,4,-1,-1,-1,-1,-1,2,1,2,-1,-1,3,2,2,-1,-1,2,-1,-1,4,-1,-1,-1,1,1,2,-1,-1,4,1,4,2,-1,-1,4,-1,2,4,2,-1,1,-1,-1,3,-1,-1,4,1,2
e9970fe8848e9505b52d414d81611de8,2,-1,-1,-1,-1,1,-1,-1,4,-1,-1,1,-1,2,-1,-1,2,-1,-1,-1,-1,4,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,1,2,1,-1,-1,2,-1,1,-1,-1,-1,-1,2,2,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
eaeabcfe25866f0455d349bae2450d88,4,2,-1,2,1,4,2,-1,-1,4,1,-1,-1,-1,-1,1,2,-1,-1,2,-1,2,2,4,1,-1,-1,-1,1,-1,-1,-1,2,-1,1,2,2,4,2,3,-1,2,3,2,-1,2,-1,2,-1,2,-1,-1,-1,2,-1,1,1,-1,-1,1
ec3dc451b8a811f05ace158a0d76e32e,1,4,1,4,2,-1,4,4,1,-1,-1,1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,-1,-1,3,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1
f49956142aab2ad74decfd49a103c2f1,-1,-1,-1,2,1,4,2,2,-1,2,1,1,1,2,2,2,-1,-1,3,-1,-1,-1,-1,2,-1,-1,-1,2,3,-1,2,4,-1,-1,-1,1,-1,4,2,-1,-1,-1,-1,4,2,1,4,-1,-1,-1,-1,-1,1,4,4,-1,1,1,2,-1
f8708568eff1535c85247b28dc126f9b,1,1,1,1,1,1,3,2,1,-1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,1,4,4,1,1,2,2,3,1,1,2,1,2,-1
