,emptyTran,negaTran,posiTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg
ope,0.13,-0.15,-0.13,-0.06,-0.10,-0.02,-0.02
con,-0.04,0.02,0.04,-0.02,-0.03,0.04,-0.05
ext,0.03,-0.12,0.27,0.02,-0.04,-0.03,-0.13
agr,0.10,-0.26,0.12,-0.05,-0.03,0.08,-0.01
neu,-0.09,0.17,0.02,-0.19,0.21,0.07,0.18
swl,0.00,-0.11,0.09,0.30,-0.09,0.06,-0.15
CESD,-0.05,0.10,0.01,-0.19,0.10,0.07,0.12
,,,,,,,
,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu
ope,-0.09,0.00,-0.09,0.14,0.03,0.21,0.03
con,-0.08,-0.21,-0.09,0.09,0.08,0.24,-0.06
ext,-0.07,-0.17,-0.18,0.22,-0.17,0.07,-0.14
agr,-0.05,-0.14,-0.13,0.26,-0.10,0.26,-0.11
neu,0.15,0.07,0.07,-0.20,-0.10,-0.22,-0.03
swl,-0.05,-0.12,-0.01,0.11,0.02,0.16,0.04
CESD,0.01,0.03,0.07,-0.20,0.06,-0.17,0.01