,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg
ope,-0.14,-0.06,-0.13,0.07,0.17,0.17,0.11,0.06,-0.02,-0.01
con,-0.09,0.13,0.08,-0.20,0.08,0.09,0.33,0.10,-0.21,-0.10
ext,-0.15,0.40,-0.06,-0.09,-0.12,-0.07,0.02,-0.06,-0.26,-0.23
agr,-0.25,0.31,0.15,-0.26,0.03,0.19,0.29,0.00,-0.16,-0.25
neu,0.16,-0.08,0.01,-0.05,0.05,-0.06,-0.17,0.07,0.07,0.00
swl,-0.13,0.08,0.12,0.02,0.06,0.00,0.12,-0.02,-0.05,-0.10
CESD,0.20,-0.08,0.04,-0.07,-0.08,0.02,-0.18,0.11,0.06,0.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,