valence,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu
mean,0.25,0.04,0.06,0.00,0.02,0.08,0.02,0.01,0.01,0.06,0.05,0.12,0.08,0.02,0.04
std,0.16,0.05,0.09,0.01,0.04,0.06,0.03,0.02,0.02,0.05,0.05,0.09,0.05,0.03,0.03
1st,0.13,0.01,0.03,0.00,0.01,0.05,0.00,0.00,0.00,0.03,0.02,0.07,0.05,0.00,0.02
3rd,0.38,0.07,0.12,0.00,0.05,0.13,0.03,0.03,0.03,0.09,0.10,0.20,0.11,0.05,0.06
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
valence,mean,std,1st,3rd,,,,,,,,,,,
emptyTran,0.25,0.16,0.13,0.38,,,,,,,,,,,
negaTran,0.04,0.05,0.01,0.07,,,,,,,,,,,
posiTran,0.06,0.09,0.03,0.12,,,,,,,,,,,
mixTran,0.00,0.01,0.00,0.00,,,,,,,,,,,
neuTran,0.02,0.04,0.01,0.05,,,,,,,,,,,
PosAndNeg,0.08,0.06,0.05,0.13,,,,,,,,,,,
MixAndPos,0.02,0.03,0.00,0.03,,,,,,,,,,,
MixAndNeg,0.01,0.02,0.00,0.03,,,,,,,,,,,
MixAndNeu,0.01,0.02,0.00,0.03,,,,,,,,,,,
NeuAndPos,0.06,0.05,0.03,0.09,,,,,,,,,,,
NeuAndNeg,0.05,0.05,0.02,0.10,,,,,,,,,,,
EmptyAndPos,0.12,0.09,0.07,0.20,,,,,,,,,,,
EmptyAndNeg,0.08,0.05,0.05,0.11,,,,,,,,,,,
EmptyAndMix,0.02,0.03,0.00,0.05,,,,,,,,,,,
EmptyAndNeu,0.04,0.03,0.02,0.06,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,