valence,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg
mean,0.09,0.16,0.00,0.06,0.19,0.04,0.03,0.04,0.14,0.11
std,0.07,0.16,0.02,0.07,0.09,0.05,0.05,0.04,0.08,0.09
1st,0.04,0.08,0.00,0.03,0.12,0.02,0.00,0.00,0.09,0.06
3rd,0.15,0.28,0.00,0.13,0.26,0.07,0.06,0.06,0.20,0.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
valence,mean,std,1st,3rd,,,,,,
negaTran,0.09,0.07,0.04,0.15,,,,,,
posiTran,0.16,0.16,0.08,0.28,,,,,,
mixTran,0.00,0.02,0.00,0.00,,,,,,
neuTran,0.06,0.07,0.03,0.13,,,,,,
PosAndNeg,0.19,0.09,0.12,0.26,,,,,,
MixAndPos,0.04,0.05,0.02,0.07,,,,,,
MixAndNeg,0.03,0.05,0.00,0.06,,,,,,
MixAndNeu,0.04,0.04,0.00,0.06,,,,,,
NeuAndPos,0.14,0.08,0.09,0.20,,,,,,
NeuAndNeg,0.11,0.09,0.06,0.19,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,